Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh
San Diego,2024-01-14 21:12:46,10.683001094715387,41.195753566944475,4.02011871570867,8.233540246873023
San Diego,2024-05-17 15:22:10,8.734139782353598,58.31910739552024,9.111623448229377,27.71516125689249
San Diego,2024-05-11 09:30:59,11.632436312930885,38.82017526915946,4.607511377146035,28.732951288236187
Philadelphia,2024-02-26 17:32:39,-8.62897589569391,54.07447397596174,3.183719747807655,26.367302672536635
San Antonio,2024-04-29 13:23:51,39.808212974631594,72.89990795294305,9.598282136749663,29.898621669296094
San Diego,2024-01-21 08:54:56,27.341054869123994,49.02323606834762,9.166543302732745,27.47389608451584
San Jose,2024-01-13 02:10:54,1.881883367968177,65.74232453691016,0.2217090431972102,1.0731117811228597
New York,2024-01-25 19:04:34,-6.894765540954558,30.80489400823282,8.027623514181629,16.84833686516356
New York,2024-03-29 05:20:30,0.9635448943544382,38.81915764095648,3.6401291687401525,7.989023971699378
San Jose,2024-05-18 09:14:02,-1.6070880384255215,82.19870131323366,4.101492971518511,25.647282070436546
New York,2024-03-04 13:47:15,35.14555906501712,54.7528656584597,8.349194966148637,25.430310019530673
Houston,2024-03-07 22:03:36,15.816763568100587,80.11990203459081,3.7600041861580316,16.75213220623646
Dallas,2024-02-27 21:07:10,32.016897607941914,53.1943706422686,3.552671054425888,3.0501963855642513
